"型号品名";"规格";"加工要求";"单位";"进货价";"销售价";"类别";"品牌";"goodsID"
"MCK1-020清透棉连体弹簧床垫";"100*200*23";;"张";"0.00";"6617.00";"床垫";"慕思.凯奇";"4910"
"MCK1-051标准弹簧床垫";"180*190*17";;"张";"0.00";"4298.00";"床垫";"慕思.凯奇";"8218"
"MCK1-001护脊连体弹簧床垫";"120*200*16";;"张";"0.00";"2712.00";"床垫";"慕思.凯奇";"3867"
"MCK2-028乳胶记忆棉床垫";"90*200*15";;"张";"2450.00";"7699.00";"床垫";"慕思.凯奇";"836"
"MCK1-001A全3D椰维康床垫";"150*218*8";;"张";"0.00";"4874.00";"床垫";"慕思.凯奇";"6458"
"MCK1-001护脊连体弹簧床垫";"156*203*22";;"张";"0.00";"4821.00";"床垫";"慕思.凯奇";"8452"
"MCK3-038独立筒弹簧床垫";"200*220*23";;"张";"0.00";"7798.00";"床垫";"慕思.凯奇";"4193"
"MCK1-051标准弹簧床垫";"150*190*23";;"张";"0.00";"3655.00";"床垫";"慕思.凯奇";"5854"
"MCK1-001护脊连体弹簧床垫";"90*200*22";;"张";"618.00";"2033.00";"床垫";"慕思.凯奇";"803"
"MCK3-002床垫";"180*200*26";;"张";"0.00";"0.00";"床垫";"慕思.凯奇";"8482"
"MCK4-013进口乳胶凝胶床垫";"90*200*17";;"张";"11113.00";"38400.00";"床垫";"慕思.凯奇";"2942"
"MCK3-053床垫";"180*200*18";;"张";"0.00";"4569.00";"床垫";"慕思.凯奇";"5695"
"MCK5-032乳胶超微独立筒弹簧床垫";"200*220*9";;"张";"3909.00";"12073.00";"床垫";"慕思.凯奇";"2259"
"MCK3-026独立筒弹簧床垫";"200*220*23";;"张";"2837.00";"9290.00";"床垫";"慕思.凯奇";"832"
"MCK1-001A全3D椰维康床垫";"150*207*5";;"张";"0.00";"3540.00";"床垫";"慕思.凯奇";"5433"
"MCK3-053床垫";"120*190*14";;"张";"0.00";"3198.00";"床垫";"慕思.凯奇";"7429"
"MCK1-001护脊连体弹簧床垫";"160*210*12";;"张";"0.00";"4621.00";"床垫";"慕思.凯奇";"5971"
"MCK5-033多层独立筒弹簧床垫";"180*200*27";;"张";"0.00";"33860.00";"床垫";"慕思.凯奇";"3941"
"MCK3-052大独立筒弹簧床垫";"150*190*25";;"张";"0.00";"6743.00";"床垫";"慕思.凯奇";"6073"
"MCK2-031薄款乳胶床垫";"148*208*5";;"张";"0.00";"6173.00";"床垫";"慕思.凯奇";"6813"
"MCK1-001A全3D椰维康床垫";"150*216*8";;"张";"0.00";"4779.00";"床垫";"慕思.凯奇";"7898"
"MCK3-006六面乳胶独立筒弹簧床垫";"200*220*16";;"张";"0.00";"22118.00";"床垫";"慕思.凯奇";"2810"
"MCK5-060独立筒乳胶床垫";"180*200*22";;"张";"0.00";"19859.00";"床垫";"慕思.凯奇";"7226"
"MCK1-001护脊连体弹簧单面加2CM床垫";"120*200*22";;"张";"0.00";"3594.00";"床垫";"慕思.凯奇";"8361"
"MCK1-051标准弹簧床垫";"144*186*13";;"张";"0.00";"3868.00";"床垫";"慕思.凯奇";"7817"
"MCK1-001护脊连体弹簧床垫";"180*200*17";;"张";"1211.28";"3828.00";"床垫";"慕思.凯奇";"3162"
"MCK1-001A全3D椰维康床垫";"180*200*8";;"张";"1770.00";"4779.00";"床垫";"慕思.凯奇";"860"
"MCK3-053床垫";"200*200*22";;"张";"1839.00";"5253.00";"床垫";"慕思.凯奇";"6351"
"KB-3B床垫";"150*200*22";;"张";"0.00";"0.00";"床垫";"慕思.凯奇";"4777"
"MCK1-001护脊连体弹簧床垫";"120*200*18";;"张";"0.00";"2814.00";"床垫";"慕思.凯奇";"5341"
"MCK3-029七区乳胶独立筒弹簧床垫";"200*200*25";;"张";"3319.00";"10053.00";"床垫";"慕思.凯奇";"3483"
"MCK3-068/大独立筒弹簧/床垫";"150*200*22";;"张";"1812.00";"5694.00";"床垫";"慕思.凯奇";"7339"
"MCK1-001A全3D椰维康床垫";"114*184*5";;"张";"0.00";"2535.00";"床垫";"慕思.凯奇";"7271"
"MCK6-101凝胶床垫";"180*200*24";;"张";"7992.00";"0.00";"床垫";"慕思.凯奇";"7531"
"MCK3-008床垫";"180*200*22";;"张";"0.00";"5399.00";"床垫";"慕思.凯奇";"8344"
"MCK3-003独立筒弹簧床垫";"180*200*16";;"张";"2577.54";"9148.00";"床垫";"慕思.凯奇";"3138"
"MCK5-039乳胶超微独立筒床垫";"180*200*22";;"张";"0.00";"10739.00";"床垫";"慕思.凯奇";"4843"
"MCK3-003B床垫";"180*200*22";;"张";"0.00";"9610.00";"床垫";"慕思.凯奇";"3862"
"MCK1-001护脊连体弹簧单面加2CM床垫";"180*200*20";;"张";"0.00";"4917.00";"床垫";"慕思.凯奇";"4064"
"MCK1-051标准弹簧床垫";"100*190*15";;"张";"0.00";"3009.00";"床垫";"慕思.凯奇";"7025"
"MCK1-001护脊连体弹簧床垫";"180*200*20";;"张";"1261.00";"4018.00";"床垫";"慕思.凯奇";"2047"
"MCK1-020清透棉连体弹簧床垫";"180*200*23";"晋江摆场";"张";"2210.00";"8402.00";"床垫";"慕思.凯奇";"2733"
"MCK1-051标准弹簧床垫";"180*200*17";;"张";"0.00";"4298.00";"床垫";"慕思.凯奇";"8115"
"MCK1-001护脊连体弹簧床垫";"174*200*12";;"张";"0.00";"3828.00";"床垫";"慕思.凯奇";"3856"
"MCK3-026独立筒弹簧床垫";"120*200*23";;"张";"0.00";"5004.00";"床垫";"慕思.凯奇";"4874"
